// file containing all PCM Synth Partial waveforms SRX03
"Bg4HFgOpSftL"
"Bg4HFgOpSftR"
"Bg4HFgOpHrdL"
"Bg4HFgOpHrdR"
"Bg4HFngsSftL"
"Bg4HFngsSftR"
"Bg4HFngsHrdL"
"Bg4HFngsHrdR"
"Bg4H Heel L"
"Bg4H Heel R"
"Bg4HSlapSftL"
"Bg4HSlapSftR"
"Bg4HSlapHrdL"
"Bg4HSlapHrdR"
"Bg4HOpenSftL"
"Bg4HOpenSftR"
"Bg4HOpenHrdL"
"Bg4HOpenHrdR"
"Bg4H Flam L"
"Bg4H Flam R"
"Bg4H Roll L"
"Bg4H Roll R"
"Timbals3Menu"
"Timbl3HiHead"
"Timbl3HiRim"
"Timbl3LoHead"
"Timbl3LoRim"
"Timbl3HPaila"
"Timb3lLPaila"
"Synth Saw 2"
"Syn Saw 2inv"
"Synth Square"
"Synth Pulse1"
"Triangle"
"Sine"
